VMName,Managable,Off_evening,On_morning,Off_morning,On_evening
SQS-19-GWAPP1,1,1,1,0,0
SQS-19-GWAPP2,1,1,1,0,0
SQS-19-GWAPP3,1,1,1,0,0
SQS-CL-CLT1,1,1,1,0,0
SQS-CL-CLT2,1,1,1,0,0
TC-2019_NotUsed,1,1,0,0,0
TC-2019-RDP,1,1,0,0,0
tc-2019-rds,1,1,0,0,0
TC-43-ORACLE11,1,1,0,0,0
TC-63-XA7,1,1,0,0,0
TC-80-PIA1,1,1,0,0,0
TC-80-PIA2,1,1,0,0,0
TC-AV01,1,0,0,0,0
tc-b90g-x11,1,1,0,0,0
TC-b90g-x13,1,1,0,0,0
tc-b90g-x13-2019,1,1,1,0,0
tc-b90-x10-cl,1,1,0,0,0
tc-bedirect-x10,1,1,0,0,0
tc-bedirect-x12,1,1,0,0,0
tc-bwi-x11,1,1,0,0,0
TC-CAS,1,1,0,0,0
tc-datron-x12,1,1,0,0,0
TC-David12,1,1,0,0,0
tc-dbenerg-x11,1,1,0,0,0
tc-dbenerg-x13,1,1,0,0,0
TC-Domino10,1,1,0,0,0
TC-Domino11,1,1,0,0,0
tc-faberkabel-x11,1,1,0,0,0
tc-faberkabel-x12,1,1,0,0,0
TC-FormatNotes,1,1,0,0,0
TC-FormattedNotes-x13,1,1,0,0,0
tc-fwd-x11,1,1,0,0,0
TC-GW-Auth,1,1,0,0,0
tc-hmm-x10,1,1,0,0,0
TC-Hotfix-x10,1,1,0,0,0
TC-IFAA-x12,1,1,0,0,0
TC-IFAA-x13,1,1,0,0,0
tc-ihuette-x11,1,1,0,0,0
tc-interchipx11,1,1,0,0,0
tc-interchip-x12,1,1,0,0,0
tc-isahuette-x10,1,1,0,0,0
tc-jahr-x10,1,1,0,0,0
TC-Klueh-x11-W16,1,1,0,0,0
tc-kmcredit-x12,1,1,0,0,0
tc-kostal-x10,1,1,0,0,0
tc-kostal-x12,1,1,0,0,0
tc-layher-x11,1,1,0,0,0
tc-layher-x12,1,0,0,0,0
tc-leistritz-x11,1,1,0,0,0
tc-leistritz-x12,1,1,0,0,0
tc-leistr-x12-pA,1,0,0,0,0
tc-leistr-x12-pA_Si,1,1,0,0,0
TC-live-x12,1,1,1,0,0
TC-live-x13,1,1,1,0,0
TC-LP-CZ,1,1,0,0,0
TC-LP-HU,1,1,0,0,0
TC-LP-Multi,1,1,0,0,0
TC-LP-PT,1,1,0,0,0
TC-LP-RO,1,1,0,0,0
TC-LP-TR,1,1,0,0,0
tc-medavis-x13,1,1,0,0,0
tc-msi-x11,1,1,0,0,0
tc-msi-x12,1,1,0,0,0
TC-Nexus-x8,1,1,0,0,0
TC-Notes10,1,1,0,0,0
TC-Notes11,1,1,0,0,0
tc-oki-x11,1,1,0,0,0
tc-pant-x11D,1,1,0,0,0
tc-pant-x13,1,0,0,0,0
tc-partsdk-x12,1,1,0,0,0
tc-partsdk-x13,1,1,0,0,0
TC-Pfitzenmeier-x12,1,1,0,0,0
TC-Pfitzenmeier-x13,1,1,0,0,0
TC-PLATINTR1,1,1,0,0,0
TC-Pre-x11,1,1,0,0,0
TC-Pre-x12,1,1,0,0,0
tc-pre-x13,1,1,1,0,0
TC-Prometheus-BAEM,1,1,0,0,0
TC-Purple,1,1,0,0,0
TC-Release-x10,1,1,0,0,0
TC-Release-x11,1,1,0,0,0
TC-Release-x9,1,1,0,0,0
tc-schmidtcol-x9,1,1,0,0,0
tc-smg-x12,1,1,0,0,0
tc-stadtka-x12,1,1,0,0,0
TC-Sync-Integration,1,1,0,0,0
TC-TR-SQL,1,1,0,0,0
TC-UMCO-X11,1,1,0,0,0
TC-Upgrade,1,1,0,0,0
tc-vollack-x11,1,1,0,0,0
tc-vollack-x12,1,1,0,0,0
TC-vonSchaewen-x11,1,1,0,0,0
TC-Win2016,1,1,0,0,0
TC-XA6-01,1,1,0,0,0
tc-zelgmel-x12,1,1,0,0,0
tc-fwd-x13,1,1,0,0,0
tc-klueh-x13,1,1,0,0,0
tc-bwi-x13,1,1,0,0,0
tc-mobile-x13,1,1,0,0,0
tc-hotfix-x11,1,1,0,0,0
tc-oki-x13,1,1,0,0,0
tc-msi-x13,1,1,0,0,0
tc-stadtka-x13,1,1,0,0,0
TC-LP-PL,1,1,0,0,0
TC-LB-SD2,1,1,0,0,0
TC-LB-WEB1,1,1,0,0,0
TC-LB-WEB2,1,1,0,0,0
tc-umco-x13,1,1,0,0,0
TC-XTeam,1,1,1,0,0
tc-AddIn-OLWeb,1,1,1,0,0
tc-b90g-x13-2019-Clone,1,1,0,0,0
tc-devOps-PC1,1,0,0,0,0
tc-datron-x13,1,1,0,0,0
tc-zelgmel-x13,1,1,0,0,0
tc-smg-x13,1,1,0,0,0
tc-kmcredit-x13,1,1,0,0,0
tc-dev-x12,1,1,0,0,0
tc-rc-x12,1,1,0,0,0
tc-medavis-x14,1,1,0,0,0
tc-layher-x14,1,0,0,0,0
tc-live-x14,1,1,1,0,0
tc-pre-x14,1,1,1,0,0
tc-dev-x14-copy,1,1,0,0,0
tc-faberkab-x14,1,1,0,0,0
tc-pant-x14,1,0,0,0,0
tc-svg,1,1,1,0,0
tc-dev-x13,1,1,0,0,0
tc-rc-x13,1,1,0,0,0
tc-hf-x12,1,1,0,0,0
tc-hf-x13,1,1,0,0,0
tc-live-x15,1,0,1,0,0
tc-pre-x15,1,1,1,0,0
